2a0a:280:b000::/36,ID,ID-JK,Jakarta Timur,13450,/48
2a0a:280:b00a::/48,ID,ID-JK,Jakarta Selatan,12710,/56
2a0a:280:b00b::/48,ID,ID-JK,Jakarta Timur,13450,/56
2a0a:6040:fb00::/44,US,US-CA,Fremont,94539,/48
2a0a:6045:3000::/36,ID,ID-JK,Jakarta Timur,13450,/48
